,val_loss,val_acc,loss,acc
0,0.6634425377845764,0.61,0.6858155471086502,0.5474999994039536
1,0.5823791974782944,0.6930000013113022,0.6272258359193802,0.6579999965429306
2,0.521067436337471,0.7489999949932098,0.54672885119915,0.716000000834465
3,0.5004688042402268,0.7610000032186508,0.4819837811589241,0.7659999990463257
4,0.5612955304980278,0.722999997138977,0.43129364505410195,0.7970000040531159
5,0.4324715346097946,0.7900000047683716,0.3880929547548294,0.8235000020265579
6,0.3891851204633713,0.8260000014305114,0.3460166104137897,0.8509999996423722
7,0.4480904346704483,0.8040000033378601,0.3273368749022484,0.8539999997615815
8,0.4763349747657776,0.78700000166893,0.2960783749073744,0.8694999969005585
9,0.3744429908692837,0.840000001192093,0.2639195854216814,0.8919999957084656
10,0.4163519507646561,0.8140000021457672,0.24086338505148888,0.9004999959468841
11,0.4120230793952942,0.8359999978542327,0.2350469460338354,0.9024999952316284
12,0.41084374487400055,0.8139999985694886,0.1994999983161688,0.9204999941587448
13,0.3602254854142666,0.8519999957084656,0.18976442471146585,0.9229999941587448
14,0.3647765345871449,0.85299999833107,0.16320712817832828,0.9374999940395355
15,0.4275924851000309,0.83299999833107,0.14345148120075465,0.9479999935626984
16,0.38056177072227,0.8549999964237213,0.12807540191337466,0.9549999928474426
17,0.4909046521782875,0.8370000028610229,0.11479720037430524,0.9604999935626983
18,0.4263778929784894,0.8509999978542327,0.09708274852484465,0.9679999947547913
19,0.3870097231119871,0.8549999964237213,0.0759392674267292,0.9774999958276749
20,0.43363498590886596,0.8509999990463257,0.07249945561867208,0.9744999951124191
21,0.4353558573126793,0.86299999833107,0.06080180494580418,0.9839999967813492
22,0.6152721005678177,0.8090000009536743,0.050048671676777304,0.9864999973773956
23,0.5017259511351585,0.8599999928474427,0.04471964554744773,0.9894999980926513
24,0.521603980883956,0.8509999978542327,0.03916741871042177,0.9909999984502792
25,0.42480647802352905,0.8640000057220459,0.028684225924080237,0.9919999986886978
26,0.5665274522453546,0.8350000059604645,0.022247748397057877,0.9944999986886978
27,0.5903720808774233,0.860999995470047,0.02997602567775175,0.9874999988079071
28,0.6045127236284316,0.8519999980926514,0.016203815324115568,0.9979999995231629
29,0.6027481119334698,0.8559999978542328,0.016493688418122474,0.9959999990463256
